"","ID","year","narrowness"
"J51_R_20150212JCH_SJ1-0189_Processed","J51",2015,3.08961481956081
"J51_R_20150212JCH_SJ1-0210_Processed - Copy","J51",2015,3.48588809911274
"J51_R_20150212JCH_SJ1-0210_Processed","J51",2015,3.48588809911274
"J51_R_20150324DKE_SJ1-048_Processed - Copy","J51",2015,3.04243914332841
"J51_R_20150324DKE_SJ1-048_Processed","J51",2015,3.04243914332841
"J51_R_20150415DKE_SJ1-0071_Processed - Copy","J51",2015,3.04923088655723
"J51_R_20150415DKE_SJ1-0071_Processed","J51",2015,3.04923088655723
"J51_R_20150627KCB_SJ2-197_Processed","J51",2015,2.98660625177267
"J51_R_20150705DKE_SJ1-0674_Processed","J51",2015,2.83492948359166
"J51_R_20150705DKE_SJ1-0985_Processed","J51",2015,3.25322085904931
"J51_R_20150907DKE_SJ1-1129_Processed","J51",2015,3.14955966298001
"J51_R_20150907MAP_SJ1-763_Processed","J51",2015,3.12578038070717
"J51_R_20151216DKE_SJ1-511_Processed","J51",2015,3.2260865494918
"J51_R_20160320KCB_SJ1-745_Processed","J51",2016,3.19819294162135
"J51_R_20160425DKE_SJ1-624_Processed","J51",2016,2.81572401498149
"J51_R_20160513DKE_SJ2-1021_Processed","J51",2016,3.30457204560389
"J51_R_20160513KCB_SJ2-411_Processed","J51",2016,3.2832447280733
"J51_R_20160513KCB_SJ2-428_Processed","J51",2016,3.36482168543205
"J51_R_20160704KCB_SJ2-0198_Processed","J51",2016,2.96078736168783
"J51_R_20160714DKE_SJ1-1196_Processed","J51",2016,2.85062820075697
"J51_R_20160831KCB_SJ1-0112_Processed","J51",2016,2.82297715492431
"J51_R_20160914DKE_SJ1-078_Processed","J51",2016,3.12350446845327
"J51_R_20180712DKE_SJ1-1419_Processed","J51",2018,3.21202485193212
"J52_R_20150407BAB_SJ1-348_Processed","J52",2015,2.66400500247042
"J52_R_20150419BAB_SJ1-042_Processed","J52",2015,2.74347365772555
"J52_R_20150419DKE_SJ1-048_Processed","J52",2015,2.69249303710258
"J52_R_20150419DKE_SJ1-239_Processed","J52",2015,2.59333170510016
"J52_R_20150501BAB_SJ1-068_Processed","J52",2015,2.58335074072767
"J52_R_20150501BAB_SJ1-074_Processed","J52",2015,2.53228961836408
"J52_R_20150501DKE_SJ1-089_Processed","J52",2015,2.53591073174601
"J52_R_20150712SAM_SJ1-0560_Processed","J52",2015,2.68579086852108
"J52_R_20160225DKE_SJ1-378_Processed","J52",2016,2.68135819027137
"J52_R_20160320KCB_SJ1-755_Processed","J52",2016,2.67790913763273
"J52_R_20160502DKE_SJ1-091_Processed","J52",2016,2.37254547571719
"J52_R_20160502DKE_SJ1-125_Processed","J52",2016,2.65913889739757
"J52_R_20160708KCB_JF1-0050_Processed","J52",2016,2.66471327091621
"J52_R_20160708KCB_JF1-0184_Processed","J52",2016,2.59155970448349
"J52_R_20170109DKE_SJ1-564_Processed","J52",2017,2.79255294892263
"J52_R_20170531DKE_SJ1-0350_Processed","J52",2017,2.71619227200882
"J53_R_20151024DAG_SJ1-0377_Processed","J53",2015,3.34209267825145
"J53_R_20151024DAG_SJ1-0479_Processed","J53",2015,3.34611928792489
"J53_R_20151024DKE_SJ1-0334_Processed","J53",2015,3.27644015618514
"J53_R_20151024DKE_SJ1-0362_Processed","J53",2015,3.35393049734136
"J53_R_20151024DKE_SJ1-0367_Processed","J53",2015,3.33462073146204
"J53_R_20151024DKE_SJ1-0379_Processed","J53",2015,3.38624941597894
"J53_R_20151027DAG_SJ1-087_Processed","J53",2015,3.33867363929315
"J53_R_20151027DAG_SJ1-095_Processed","J53",2015,3.08567361913364
"J53_R_20151027DKE_SJ1-041_Processed","J53",2015,3.38243734620923
"J53_R_20151027DKE_SJ1-115_Processed","J53",2015,3.20016189317941
"J53_R_20160605DKE_SJ2-0724_Processed","J53",2016,3.20150968769204
"J53_R_20160708KCB_JF1-0543_Processed","J53",2016,3.31410769248793
"J53_R_20160904KCB_SJ1-0297_Processed","J53",2016,3.24231674955044
"J53_R_20170531DKE_SJ1-0370_Processed","J53",2017,3.25128449275321
"J53_R_20170531DKE_SJ1-0371_Processed","J53",2017,3.24454116579604
"J53_R_20170531DKE_SJ1-0492_Processed","J53",2017,2.96765134971599
"J53_R_20170531DKE_SJ1-0659_Processed","J53",2017,3.36952007812911
"J53_R_20180724DKE_SJ1-0008_Processed","J53",2018,3.34793179852072
"J53_R_20181002MLM_JF8-7994_Processed","J53",2018,3.03364337873993
"J54_R_20160320KCB_SJ1-807_Processed","J54",2016,3.44678560858638
"J54_R_20160320KCB_SJ1-853_Processed","J54",2016,3.52546226908248
"J8_R_20090702EEH_DG2_128_Processed","J8",2009,3.27531622296235
"J8_R_20100915STJ_SJ2-521_Processed","J8",2010,3.22175926606657
"K11_R_20080925DKE_DG1-042_Processed","K11",2008,2.58472044916824
"K12_R_20090911AVG_DG2-001_Processed","K12",2009,2.65617011248665
"K12_R_20120408DKE_GI1-1042_Processed","K12",2012,2.76245663480877
"K13_R_20120812SAM_SJ1-752_Processed","K13",2012,2.64947162229008
"K13_R_20140818KCB_SJ1-123_Processed","K13",2014,2.98788984838709
"K13_R_20140818KCB_SJ1-136_Processed","K13",2014,2.97702899846905
"K13_R_20140902DKE_SJ1-066_Processed","K13",2014,3.16658921501497
"K13_R_20160808MAP_SJ1-038_Processed","K13",2016,2.84562210748867
"K14_R_20150705DKE_SJ1-0558_Processed","K14",2015,3.20816053462542
"K16_R_20120826SAM_SJ1-1586_Processed","K16",2012,2.96642079999836
"K16_R_20180913DKE_SJ1-0140_Processed","K16",2018,2.75212448027132
"K20_R_20110710AVG_SJ1-237_Processed","K20",2011,2.94849154196459
"K20_R_20120816SAM_SJ1-581_Processed","K20",2012,3.13536255258261
"K22_R_20120812SAM_SJ1-714_Processed","K22",2012,2.74224460655658
"K26_R_20160914DKE_SJ1-733_Processed","K26",2016,3.7098575447216
"K26_R_20160920DKE_SJ1-0755_Processed","K26",2016,2.87177405654663
"K27_R_20100814SAM_SJ1-L9565_Processed","K27",2010,3.13596930239991
"K27_R_20110706DKE_SJ1-537_Procesed","K27",2011,2.59608950227915
"K27_R_20110729BAB_SJ2_076_Processed","K27",2011,2.90303904993286
"K27_R_20120812SAM_SJ1-708_Processed","K27",2012,2.71909548096182
"K27_R_20180712DKE_SJ1-1143_Processed","K27",2018,2.74849424311865
"K33_L_20160606DKE_SJ2-765_Processed","K33",2016,3.15784521973154
"K33_R_20121023DKE_SJ2-345_Processed","K33",2012,2.74982610692631
"K34_R_20090728EEH_DG1-126_Processed","K34",2009,3.01382186550042
"K35_R_20050618AVG_DG1-056_Processed","K35",2005,2.82234263199139
"K35_R_20180724DKE_SJ1-0931_Processed","K35",2018,2.83826710216571
"K35_R_20180724DKE_SJ1-1136_Processed","K35",2018,3.07182176084204
"K35_R_20180724DKE_SJ1-1164_Processed","K35",2018,2.67070784647716
"K35_R_20180913DKE_SJ1-0127_Processed","K35",2018,2.96589584338776
"K36_R_20100915KCB_SJ2-729_Processed","K36",2010,3.22003806793839
"K36_R_20180913DKE_SJ1-0014_Processed","K36",2018,3.09579425344792
"K36_R_20180915DKE_SJ1-180_Processed","K36",2018,2.94060994945001
"K37_R_20051007DKE-204_Processed","K37",2005,2.75634273889481
"K37_R_20061019KMJ_DG1_037_Processed","K37",2006,2.62523707777741
"K38_R_20090629EAF_DG1_019_Processed","K38",2009,2.44476456265454
"K38_R_20150705DKE_SJ1-0516_Processed","K38",2015,2.84578039698294
"K38_R_20150728DKE_SJ1-111_Processed","K38",2015,2.65366239445888
"K40_R_20080627KCB_DG1-550_Processed","K40",2008,2.84434819579132
"K40_R_20090714EEH_DG2-178_Processed","K40",2009,3.02731468063608
"K41_R_20060901KCB_DG2-084_Processed","K41",2006,2.5126324527475
"K42_R_20090206MLM_DG9-_041_Processed","K42",2009,2.36204215809526
"K42_R_20100726DKE_SJ2-205_Processed","K42",2010,2.22608124998816
"K42_R_20100726DKE_SJ2-206_Processed","K42",2010,2.2520432633128
"K42_R_20101104HEG_PS9-4132_Processed","K42",2010,2.44152287121892
"K43_R_20100608DKE_DG4-072_Processed","K43",2010,2.58071118156982
"K43_R_20100608EAF_DG4-019_Processed","K43",2010,2.5912604249873
"K43_R_20100608KCB_DG4-0038_Processed","K43",2010,2.59862288951472
"K43_R_20101024KCB_JF1-179_Processed","K43",2010,2.93348968640948
"K43_R_20110826KCB_SJ2-074_Processed","K43",2011,2.80845862549831
"K43_R_20110905MLM_JF7-029_Processed","K43",2011,2.5658929801721
"K43_R_20160606JTH_SJ1-0125_Processed","K43",2016,2.92518926986834
"K44_R_20110706DKE_SJ1-547_Processed","K44",2011,2.58816258510538
"K44_R_20110710STJ_SJ1-525_Processed","K44",2011,2.4578307858236
"K44_R_20110715BRG_JF8-5837_Processed","K44",2011,2.28084461115664
"K44_R_20110716KCB_SJ1-267_Processed","K44",2011,2.34804270088147
"K44_R_20110727BAB_SJ1_128_Processed","K44",2011,2.47581547609879
"K44_R_20110905MLM_JF7-017_Processed","K44",2011,2.46120291099314
"K44_R_20120408DKE_GI1-0562_Processed","K44",2012,2.62574497149039
"K44_R_20120422DKE_SJ1-0854_Processed","K44",2012,2.43837499760599
"K44_R_20120422KCB_SJ1-364_Processed","K44",2012,2.40800159822511
"K44_R_20120529BAB_JF1-0932_Processed","K44",2012,2.48025410616425
"K44_R_20120529DKE_JF1-1163_Processed","K44",2012,2.5424967012071
"K44_R_20120826DKE_SJ1-0874_Processed","K44",2012,2.59310457869114
"K44_R_20141018DKE_JF1-034_Processed","K44",2014,2.77524714317331
"K44_R_20150907DKE_SJ1-0295_Processed","K44",2015,2.81461890629278
"K44_R_20150907MAP_SJ1-258_Processed","K44",2015,2.84565844619434
"L100_R_20080911DKE_DG1-085_Processed","L100",2008,2.96148004716318
"L100_R_20090728EEH_DG1-613_Processed","L100",2009,2.99274527435948
"L100_R_20110715EEH_SJ1-031_Processed","L100",2011,2.81073592155183
"L100_R_20120916KCB_GI2-679_Processed","L100",2012,2.9115915361763
"L103_R_20040619KCB_DG1-027_Processed","L103",2004,2.73437046799116
"L103_R_20090206KCB_DG1_0748_Processed","L103",2009,3.05610083333813
